ATL,2005
43,Linas Kleiza,PF,6-8,245,January 3 1985,1,University of Missouri,DEN,2007
6,Kenyon Martin,PF,6-9,234,December 30 1977,6,University of Cincinnati,DEN,2007
24,Andre Miller,PG,6-3,200,March 19 1976,7,University of Utah,DEN,2007
21,Eduardo Najera,PF,6-8,240,July 11 1976,6,University of Oklahoma,DEN,2007
7,Jamal Sampson,C,6-11,235,May 15 1983,4,University of California,DEN,2007
1,J.R. Smith,SG,6-6,225,September 9 1985,2,,DEN,2007
8,Joe Smith,PF,6-10,225,July 26 1975,11,University of Maryland,DEN,2007
DEN,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2008
15,Carmelo Anthony,SF,6-8,240,May 29 1984,4,Syracuse University,DEN,2008
12,Chucky Atkins,SG,5-11,160,August 14 1974,8,University of South Florida,DEN,2008
23,Marcus Camby,C,6-11,220,March 22 1974,11,University of Massachusetts Amherst,DEN,2008
25,Anthony Carter,PG,6-1,190,June 16 1975,8,University of Hawaii,DEN,2008
5,Yakhouba Diawara,SG,6-7,225,August 29 1982,1,Pepperdine University,DEN,2008
0,Taurean Green,SG,6-0,177,November 28 1986,R,University of Florida,DEN,2008
31,Nene Hilario,PF,6-11,250,September 13 1982,5,,DEN,2008
45,Steven Hunter,C,7-0,220,October 31 1981,6,DePaul University,DEN,2008
3,Allen Iverson,SG,6-0,165,June 7 1975,11,Georgetown University,DEN,2008
11,Bobby Jones,C,6-7,215,January 9 1984,1,University of Washington,DEN,2008
43,Linas Kleiza,SF,6-8,245,January 3 1985,2,University of Missouri,DEN,2008
4,Kenyon Martin,PF,6-9,234,December 30 1977,7,University of Cincinnati,DEN,2008
34,Jelani McCoy,C,6-10,245,December 6 1977,7,University of California Los Angeles,DEN,2008
21,Eduardo Najera,PF,6-8,240,July 11 1976,7,University of Oklahoma,DEN,2008
1,J.R. Smith,SG,6-6,225,September 9 1985,3,,DEN,2008
22,Von Wafer,SG,6-5,210,July 21 1985,2,Florida State University,DEN,2008
29,Mike Wilks,PG,5-10,185,May 7 1979,5,Rice University,DEN,2008
DEN,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2009
11,Chris Andersen,C,6-10,245,July 7 1978,6,Blinn College,DEN,2009
15,Carmelo Anthony,SF,6-8,240,May 29 1984,5,Syracuse University,DEN,2009
12,Chucky Atkins,PG,5-11,160,August 14 1974,9,University of South Florida,DEN,2009
32,Renaldo Balkman,PF,6-8,208,July 14 1984,2,University of South Carolina,DEN,2009
7,Chauncey Billups,PG,6-3,202,September 25 1976,11,University of Colorado,DEN,2009
25,Anthony Carter,PG,6-1,190,June 16 1975,9,University of Hawaii,DEN,2009
6,Jason Hart,PG,6-3,185,April 29 1978,7,Syracuse University,DEN,2009
31,Nene Hilario,C,6-11,250,September 13 1982,6,,DEN,2009
5,Juwan Howard,PF,6-9,240,February 7 1973,14,University of Michigan,DEN,2009
3,Allen Iverson,SG,6-0,165,June 7 1975,12,Georgetown University,DEN,2009
30,Dahntay Jones,SG,6-6,225,December 27 1980,5,Duke University,DEN,2009
43,Linas Kleiza,SF,6-8,245,January 3 1985,3,University of Missouri,DEN,2009
4,Kenyon Martin,PF,6-9,234,December 30 1977,8,University of Cincinnati,DEN,2009
27,Johan Petro,C,7-0,247,January 27 1986,3,,DEN,2009
35,Cheikh Samb,C,7-1,245,October 22 1984,1,,DEN,2009
1,J.R. Smith,SG,6-6,225,September 9 1985,4,,DEN,2009
13,Sonny Weems,SG,6-6,205,July 8 1986,R,University of Arkansas,DEN,2009
DEN,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2010
6,Arron Afflalo,SG,6-5,210,October 15 1985,2,University of California Los Angeles,DEN,2010
30,Malik Allen,PF,6-10,255,June 27 1978,8,Villanova University,DEN,2010
11,Chris Andersen,PF,6-10,245,July 7 1978,7,Blinn College,DEN,2010
15,Carmelo Anthony,SF,6-8,240,May 29 1984,6,Syracuse University,DEN,2010
32,Renaldo Balkman,SF,6-8,208,July 14 1984,3,University of South Carolina,DEN,2010
1,Chauncey Billups,PG,6-3,202,September 25 1976,12,University of Colorado,DEN,2010
25,Anthony Carter,PG,6-1,190,June 16 1975,10,University of Hawaii,DEN,2010
14,Joey Graham,SF,6-7,225,June 11 1982,4,Oklahoma State University,DEN,2010
31,Nene Hilario,C,6-11,250,September 13 1982,7,,DEN,2010
3,Ty Lawson,PG,5-11,195,November 3 1987,R,University of North Carolina,DEN,2010
4,Kenyon Martin,PF,6-9,234,December 30 1977,9,University of Cincinnati,DEN,2010
27,Johan Petro,C,7-0,247,January 27 1986,4,,DEN,2010
5,J.R. Smith,SG,6-6,225,September 9 1985,5,,DEN,2010
DEN,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2011
6,Arron Afflalo,SG,6-5,210,October 15 1985,3,University of California Los Angeles,DEN,2011
11,Chris Andersen,C,6-10,245,July 7 1978,8,Blinn College,DEN,2011
15,Carmelo Anthony,SF,6-8,240,May 29 1984,7,Syracuse University,DEN,2011
32,Renaldo Balkman,SF,6-8,208,July 14 1984,4,University of South Carolina,DEN,2011
1,Chauncey Billups,PG,6-3,202,September 25 1976,13,University of Colorado,DEN,2011
25,Anthony Carter,PG,6-1,190,June 16 1975,11,University of Hawaii,DEN,2011
21,Wilson Chandler,SF,6-8,225,May 10 1987,3,DePaul University,DEN,2011
34,Melvin Ely,C,6-10,260,May 2 1978,7,California State University Fresno,DEN,2011
20,Raymond Felton,SG,6-1,205,June 26 1984,5,University of North Carolina,DEN,2011
0,Gary Forbes,SF,6-7,220,February 25 1985,R,University of Massachusetts Amherst,DEN,2011
8,Danilo Gallinari,SF,6-10,225,August 8 1988,2,,DEN,2011
7,Al Harrington,PF,6-9,230,February 17 1980,12,,DEN,2011
31,Nene Hilario,C,6-11,250,September 13 1982,8,,DEN,2011
41,Kosta Koufos,C,7-0,265,February 24 1989,2,Ohio State University,DEN,2011
3,Ty Lawson,PG,5-11,195,November 3 1987,1,University of North Carolina,DEN,2011
4,Kenyon Martin,PF,6-9,234,December 30 1977,10,University of Cincinnati,DEN,2011
25,Timofey Mozgov,C,7-1,275,July 16 1986,R,,DEN,2011
5,J.R. Smith,SF,6-6,225,September 9 1985,6,,DEN,2011
23,Shelden Williams,PF,6-9,250,October 21 1983,4,Duke University,DEN,2011
DEN,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2012
6,Arron Afflalo,SG,6-5,210,October 15 1985,4,University of California Los Angeles,DEN,2012
11,Chris Andersen,C,6-10,245,July 7 1978,9,Blinn College,DEN,2012
13,Corey Brewer,SF,6-9,186,March 5 1986,4,University of Florida,DEN,2012
0,DeMarre Carroll,PF,6-8,212,July 27 1986,2,University of Missouri,DEN,2012
21,Wilson Chandler,SF,6-8,225,May 10 1987,4,DePaul University,DEN,2012
35,Kenneth Faried,PF,6-8,228,November 19 1989,R,Morehead State University,DEN,2012
5,Rudy Fernandez,SG,6-6,185,April 4 1985,3,,DEN,2012
8,Danilo Gallinari,SF,6-10,225,August 8 1988,3,,DEN,2012
1,Jordan Hamilton,SF,6-7,220,October 6 1990,R,University of Texas at Austin,DEN,2012
7,Al Harrington,PF,6-9,230,February 17 1980,13,,DEN,2012
31,Nene Hilario,C,6-11,250,September 13 1982,9,,DEN,2012
41,Kosta Koufos,C,7-0,265,February 24 1989,3,Ohio State University,DEN,2012
3,Ty Lawson,PG,5-11,195,November 3 1987,2,University of North Carolina,DEN,2012
34,JaVale McGee,C,7-0,270,January 19 1988,3,University of Nevada Reno,DEN,2012
24,Andre Miller,SG,6-3,200,March 19 1976,12,University of Utah,DEN,2012
25,Timofey Mozgov,C,7-1,275,July 16 1986,1,,DEN,2012
10,Julyan Stone,SG,6-6,200,December 7 1988,R,University of Texas at El Paso,DEN,2012
DEN,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2013
13,Corey Brewer,SF,6-9,186,March 5 1986,5,University of Florida,DEN,2013
21,Wilson Chandler,PF,6-8,225,May 10 1987,5,DePaul University,DEN,2013
35,Kenneth Faried,PF,6-8,228,November 19 1989,1,Morehead State University,DEN,2013
94,Evan Fournier,SG,6-7,205,October 29 1992,R,,DEN,2013
8,Danilo Gallinari,SF,6-10,225,August 8 1988,4,,DEN,2013
1,Jordan Hamilton,SF,6-7,220,October 6 1990,1,University of Texas at Austin,DEN,2013
9,Andre Iguodala,SG,6-6,207,January 28 1984,8,University of Arizona,DEN,2013
41,Kosta Koufos,C,7-0,265,February 24 1989,4,Ohio State University,DEN,2013
3,Ty Lawson,PG,5-11,195,November 3 1987,3,University of North Carolina,DEN,2013
34,JaVale McGee,C,7-0,270,January 19 1988,4,University of Nevada Reno,DEN,2013
24,Andre Miller,PG,6-3,200,March 19 1976,13,University of Utah,DEN,2013
30,Quincy Miller,PF,6-9,210,November 18 1992,R,Baylor University,DEN,2013
25,Timofey Mozgov,C,7-1,275,July 16 1986,2,,DEN,2013
15,Anthony Randolph,PF,6-10,205,July 15 1989,4,Louisiana State University,DEN,2013
10,Julyan Stone,PG,6-6,200,December 7 1988,1,University of Texas at El Paso,DEN,2013
DEN,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2014
00,Darrell Arthur,SF,6-9,235,March 25 1988,4,University of Kansas,DEN,2014
0,Aaron Brooks,PG,6-0,161,January 14 1985,5,University of Oregon,DEN,2014
21,Wilson Chandler,SF,6-8,225,May 10 1987,6,DePaul University,DEN,2014
35,Kenneth Faried,PF,6-8,228,November 19 1989,2,Morehead State University,DEN,2014
94,Evan Fournier,SG,6-7,205,October 29 1992,1,,DEN,2014
4,Randy Foye,SG,6-4,213,September 24 1983,7,Villanova University,DEN,2014
1,Jordan Hamilton,SF,6-7,220,October 6 1990,2,University of Texas at Austin,DEN,2014
7,J.J. Hickson,PF,6-9,242,September 4 1988,5,North Carolina State University,DEN,2014
3,Ty Lawson,PG,5-11,195,November 3 1987,4,University of North Carolina,DEN,2014
34,JaVale McGee,C,7-0,270,January 19 1988,5,University of Nevada Reno,DEN,2014
24,Andre Miller,SG,6-3,200,March 19 1976,14,University of Utah,DEN,2014
30,Quincy Miller,PF,6-9,210,November 18 1992,1,Baylor University,DEN,2014
25,Timofey Mozgov,C,7-1,275,July 16 1986,3,,DEN,2014
15,Anthony Randolph,PF,6-10,205,July 15 1989,5,Louisiana State University,DEN,2014
10,Nate Robinson,PG,5-9,180,May 31 1984,8,University of Washington,DEN,2014
24,Jan Vesely,PF,6-11,240,April 24 1990,2,,DEN,2014
DEN,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DEN,2015
10,Arron Afflalo,SG,6-5,210,October 15 1985,7,University of California Los Angeles,DEN,2015
00,Darrell Arthur,PF,6-9,235,March 25 1988,5,University of Kansas,DEN,2015
5,Will Barton,SG,6-6,175,January 6 1991,2,University of Memphis,DEN,2015
21,Wilson Chandler,SF,6-8,225,May 10 1987,7,DePaul University,DEN,2015
20,Ian Clark,SG,6-3,175,March 7 1991,1,Belmont University,DEN,2015
35,Kenneth Faried,PF,6-8,228,November 19 1989,3,Morehead State University,DEN,2015
4,Randy Foye,SG,6-4,213,September 24 1983,8,Villanova University,DEN,2015
22,Jamaal Franklin,SG,6-5,191,July 21 1991,1,San Diego State University,DEN,2015
8,Danilo Gallinari,SF,6-10,225,August 8 1988,5,,DEN,2015
1,Alonzo Gee,SF,6-6,225,May 29 1987,5,University of Alabama,DEN,2015
11,Erick Green,PG,6-4,185,May 9 1991,R,Virginia Polytechnic Institute and State University,DEN,2015
14,Gary Harris,SG,6-4,210,September 14 1994,R,Michigan State University,DEN,2015
7,J.J. Hickson,C,6-9,242,September 4 1988,6,North Carolina State University,DEN,2015
77,Joffrey Lauvergne,C,6-11,220,September 30 1991,R,,DEN,2015
3,Ty Lawson,PG,5-11,195,November 3 1987,5,University of North Carolina,DEN,2015
34,JaVale McGee,C,7-0,270,January 19 1988,6,University of Nevada Reno,DEN,2015
25,Timofey Mozgov,C,7-1,275,July 16 1986,4,,DEN,2015
28,Jameer Nelson,PG,6-0,190,February 9 1982,10,Saint Joseph's University,DEN,2015
23,Jusuf Nurkic,C,7-0,280,August 23 1994,R,,DEN,2015
5,Nate Robinson,PG,5-9,180,May 31 1984,9,University of Washington,DEN,2015
DET,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DET,2005
30,Carlos Arroyo,PG,6-2,202,July 30 1979,3,Florida International University,DET,2005
1,Chauncey Billups,PG,6-3,202,September 25 1976,7,University of Colorado,DET,2005
41,Elden Campbell,C,6-11,215,July 23 1968,14,Clemson University,DET,2005
44,Derrick Coleman,C,6-10,230,June 21 1967,14,Syracuse University,DET,2005
20,Carlos Delfino,SG,6-6,230,August 29 1982,R,,DET,2005
12,Ronald Dupree,SF,6-7,209,January 26 1981,1,Louisiana State University,DET,2005
7,Anthony Goldwire,PG,6-1,182,September 6 1971,6,University of Houston,DET,2005
8,Darvin Ham,SF,6-7,220,July 23 1973,7,Texas Tech University,DET,2005
32,Richard Hamilton,SG,6-6,185,February 14 1978,5,University of Connecticut,DET,2005
10,Lindsey Hunter,SG,6-2,170,December 3 1970,11,Jackson State University,DET,2005
5,Horace Jenkins,PG,6-1,180,October 14 1974,R,William Paterson University,DET,2005
24,Antonio McDyess,PF,6-9,220,September 7 1974,8,University of Alabama,DET,2005
31,Darko Milicic,C,7-0,250,June 20 1985,1,,DET,2005
7,Smush Parker,PG,6-4,190,June 1 1981,1,Fordham University,DET,2005
22,Tayshaun Prince,SF,6-9,212,February 28 1980,2,University of Kentucky,DET,2005
3,Ben Wallace,C,6-9,240,September 10 1974,8,Virginia Union University,DET,2005
36,Rasheed Wallace,PF,6-10,225,September 17 1974,9,University of North Carolina,DET,2005
DET,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DET,2006
6,Alex Acker,SG,6-5,185,January 21 1983,R,Pepperdine University,DET,2006
30,Carlos Arroyo,PG,6-2,202,July 30 1979,4,Florida International University,DET,2006
1,Chauncey Billups,PG,6-3,202,September 25 1976,8,University of Colorado,DET,2006
13,Kelvin Cato,C,6-11,255,August 26 1974,8,Iowa State University,DET,2006
34,Dale Davis,C,6-11,230,March 25 1969,14,Clemson University,DET,2006
20,Carlos Delfino,SG,6-6,230,August 29 1982,1,,DET,2006
00,Tony Delk,PG,6-1,189,January 28 1974,9,University of Kentucky,DET,2006
5,Maurice Evans,SG,6-5,220,November 8 1978,2,University of Texas at Austin,DET,2006
32,Richard Hamilton,SG,6-6,185,February 14 1978,6,University of Connecticut,DET,2006
10,Lindsey Hunter,PG,6-2,170,December 3 1970,12,Jackson State University,DET,2006
25,Amir Johnson,SF,6-9,240,May 1 1987,R,,DET,2006
54,Jason Maxiell,PF,6-7,260,February 18 1983,R,University of Cincinnati,DET,2006
24,Antonio McDyess,PF,6-9,220,September 7 1974,9,University of Alabama,DET,2006
31,Darko Milicic,C,7-0,250,June 20 1985,2,,DET,2006
22,Tayshaun Prince,SF,6-9,212,February 28 1980,3,University of Kentucky,DET,2006
3,Ben Wallace,C,6-9,240,September 10 1974,9,Virginia Union University,DET,2006
36,Rasheed Wallace,PF,6-10,225,September 17 1974,10,University of North Carolina,DET,2006
DET,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DET,2007
1,Chauncey Billups,PG,6-3,202,September 25 1976,9,University of Colorado,DET,2007
8,Will Blalock,PG,6-0,205,September 8 1983,R,Iowa State University,DET,2007
34,Dale Davis,C,6-11,230,March 25 1969,15,Clemson University,DET,2007
20,Carlos Delfino,SG,6-6,230,August 29 1982,2,,DET,2007
12,Ronald Dupree,SF,6-7,209,January 26 1981,3,Louisiana State University,DET,2007
32,Richard Hamilton,SG,6-6,185,February 14 1978,7,University of Connecticut,DET,2007
10,Lindsey Hunter,PG,6-2,170,December 3 1970,13,Jackson State University,DET,2007
25,Amir Johnson,PF,6-9,240,May 1 1987,1,,DET,2007
54,Jason Maxiell,C,6-7,260,February 18 1983,1,University of Cincinnati,DET,2007
24,Antonio McDyess,PF,6-9,220,September 7 1974,10,University of Alabama,DET,2007
13,Nazr Mohammed,C,6-10,221,September 5 1977,8,University of Kentucky,DET,2007
6,Ronald Murray,SG,6-4,190,July 29 1979,4,Shaw University,DET,2007
22,Tayshaun Prince,SF,6-9,212,February 28 1980,4,University of Kentucky,DET,2007
36,Rasheed Wallace,C,6-10,225,September 17 1974,11,University of North Carolina,DET,2007
84,Chris Webber,PF,6-9,245,March 1 1973,13,University of Michigan,DET,2007
DET,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DET,2008
28,Arron Afflalo,SG,6-5,210,October 15 1985,R,University of California Los Angeles,DET,2008
1,Chauncey Billups,PG,6-3,202,September 25 1976,10,University of Colorado,DET,2008
7,Primoz Brezec,C,7-2,252,October 2 1979,6,,DET,2008
8,Juan Dixon,PG,6-3,164,October 9 1978,5,University of Maryland,DET,2008
12,Ronald Dupree,SF,6-7,209,January 26 1981,4,Louisiana State University,DET,2008
32,Richard Hamilton,SG,6-6,185,February 14 1978,8,University of Connecticut,DET,2008
9,Jarvis Hayes,SF,6-7,220,August 9 1981,4,University of Georgia,DET,2008
5,Walter Herrmann,PF,6-9,225,June 26 1979,1,,DET,2008
10,Lindsey Hunter,PG,6-2,170,December 3 1970,14,Jackson State University,DET,2008
25,Amir Johnson,PF,6-9,240,May 1 1987,2,,DET,2008
54,Jason Maxiell,C,6-7,260,February 18 1983,2,University of Cincinnati,DET,2008
24,Antonio McDyess,PF,6-9,220,September 7 1974,11,University of Alabama,DET,2008
13,Nazr Mohammed,C,6-10,221,September 5 1977,9,University of Kentucky,DET,2008
6,Ronald Murray,PG,6-4,190,July 29 1979,5,Shaw University,DET,2008
22,Tayshaun Prince,SF,6-9,212,February 28 1980,5,University of Kentucky,DET,2008
42,Theo Ratliff,C,6-10,225,April 17 1973,12,University of Wyoming,DET,2008
35,Cheikh Samb,C,7-1,245,October 22 1984,R,,DET,2008
3,Rodney Stuckey,PG,6-5,205,April 21 1986,R,Eastern Washington University,DET,2008
36,Rasheed Wallace,C,6-10,225,September 17 1974,12,University of North Carolina,DET,2008
DET,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DET,2009
6,Alex Acker,SG,6-5,185,January 21 1983,1,Pepperdine University,DET,2009
28,Arron Afflalo,SG,6-5,210,October 15 1985,1,University of California Los Angeles,DET,2009
1,Chauncey Billups,PG,6-3,202,September 25 1976,11,University of Colorado,DET,2009
38,Kwame Brown,C,6-11,270,March 10 1982,7,,DET,2009
12,Will Bynum,PG,6-0,185,January 4 1983,1,Georgia Institute of Technology,DET,2009
32,Richard Hamilton,SG,6-6,185,February 14 1978,9,University of Connecticut,DET,2009
5,Walter Herrmann,SF,6-9,225,June 26 1979,2,,DET,2009
1,Allen Iverson,PG,6-0,165,June 7 1975,12,Georgetown University,DET,2009
25,Amir Johnson,PF,6-9,240,May 1 1987,3,,DET,2009
54,Jason Maxiell,C,6-7,260,February 18 1983,3,University of Cincinnati,DET,2009
24,Antonio McDyess,PF,6-9,220,September 7 1974,12,University of Alabama,DET,2009
22,Tayshaun Prince,SF,6-9,212,February 28 1980,6,University of Kentucky,DET,2009
42,Walter Sharpe,PF,6-9,245,July 18 1986,R,University of Alabama at Birmingham,DET,2009
3,Rodney Stuckey,PG,6-5,205,April 21 1986,1,Eastern Washington University,DET,2009
30,Rasheed Wallace,C,6-10,225,September 17 1974,13,University of North Carolina,DET,2009
DET,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DET,2010
17,Chucky Atkins,PG,5-11,160,August 14 1974,10,University of South Florida,DET,2010
38,Kwame Brown,C,6-11,270,March 10 1982,8,,DET,2010
12,Will Bynum,PG,6-0,185,January 4 1983,2,Georgia Institute of Technology,DET,2010
5,Austin Daye,SF,6-11,220,June 5 1988,R,Gonzaga University,DET,2010
7,Ben Gordon,SG,6-3,200,April 4 1983,5,University of Connecticut,DET,2010
32,Richard Hamilton,SG,6-6,185,February 14 1978,10,University of Connecticut,DET,2010
33,Jonas Jerebko,PF,6-10,231,March 2 1987,R,,DET,2010
54,Jason Maxiell,C,6-7,260,February 18 1983,4,University of Cincinnati,DET,2010
22,Tayshaun Prince,SF,6-9,212,February 28 1980,7,University of Kentucky,DET,2010
3,Rodney Stuckey,PG,6-5,205,April 21 1986,2,Eastern Washington University,DET,2010
35,DaJuan Summers,SF,6-8,230,January 24 1988,R,Georgetown University,DET,2010
31,Charlie Villanueva,PF,6-11,232,August 24 1984,4,University of Connecticut,DET,2010
6,Ben Wallace,C,6-9,240,September 10 1974,13,Virginia Union University,DET,2010
9,Chris Wilcox,PF,6-10,221,September 3 1982,7,University of Maryland,DET,2010
DET,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DET,2011
12,Will Bynum,PG,6-0,185,January 4 1983,3,Georgia Institute of Technology,DET,2011
5,Austin Daye,SF,6-11,220,June 5 1988,1,Gonzaga University,DET,2011
7,Ben Gordon,SG,6-3,200,April 4 1983,6,University of Connecticut,DET,2011
32,Richard Hamilton,SG,6-6,185,February 14 1978,11,University of Connecticut,DET,2011
54,Jason Maxiell,PF,6-7,260,February 18 1983,5,University of Cincinnati,DET,2011
1,Tracy McGrady,SG,6-8,210,May 24 1979,13,,DET,2011
10,Greg Monroe,C,6-11,265,June 4 1990,R,Georgetown University,DET,2011
22,Tayshaun Prince,SF,6-9,212,February 28 1980,8,University of Kentucky,DET,2011
3,Rodney Stuckey,PG,6-5,205,April 21 1986,3,Eastern Washington University,DET,2011
35,DaJuan Summers,SF,6-8,230,January 24 1988,1,Georgetown University,DET,2011
31,Charlie Villanueva,PF,6-11,232,August 24 1984,5,University of Connecticut,DET,2011
6,Ben Wallace,C,6-9,240,September 10 1974,14,Virginia Union University,DET,2011
9,Chris Wilcox,PF,6-10,221,September 3 1982,8,University of Maryland,DET,2011
DET,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,DET,2012
12,Will Bynum,PG,6-0,185,January 4 1983,4,Georgia Institute of Technology,DET,2012
5,Austin Daye,SF,6-11,220,June 5 1988,2,Gonzaga University,DET,2012
8,Ben Gordon,SG,6-3,200,April 4 1983,7,University of Connecticut,DET,2012
33,Jonas Jerebko,PF,6-10,231,March 2 1987,1,,DET,2012
7,Brandon Knight,PG,6-3,189,December 2 1991,R,University of Kentucky,DET,2012
